Code,Latitude,Longitude,Score,StandardCivicNumber,StandardAddress,StandardCity,StandardStateorProvinceAbbrv,PostalZip,Frequency
C5C3C3,,0,0,,,,,C5C3C3,101
C8E1D6,,0,0,,,,,C8E1D6,101
E9F4D9,,0,0,,,,,E9F4D9,101
L9T6Z5,43.510795,-79.866906,2,1,,Milton,ON,L9T6Z5,98
E5E5E5,44.898198,-66.934868,2,1,,WELSHPOOL,NB,E5E5E5,97
A0A0A0,47.05564,-53.201979,2,1,,GANDER,NL,A0A0A0,94
N0B5D9,43.51974,-80.480867,2,1,,,,N0B5D9,93
M5A4K2,43.662654,-79.376516,2,1,,TORONTO,ON,M5A4K2,91
B4A3B8,44.725429,-63.674397,2,1,,Bedford,NS,B4A3B8,88
C0C0C0,,0,0,,,,,C0C0C0,87
E8D2B7,,0,0,,,,,E8D2B7,85
B2D6A6,,0,0,,,,,B2D6A6,85
C3C7C9,,0,0,,,,,C3C7C9,85
C5E7F2,,0,0,,,,,C5E7F2,85
E0O1M9,,0,0,,,,,E0O1M9,85
C4B8C3,,0,0,,,,,C4B8C3,85
V6X3H6,49.195526,-123.099189,2,1,,RICHMOND,BC,V6X3H6,85
E3O1M9,,0,0,,,,,E3O1M9,83
M5R1A6,43.670654,-79.39214,2,1,,Toronto,ON,M5R1A6,83
E4L1E4,45.89941,-64.370316,2,1,,SACKVILLE,NB,E4L1E4,83
R3C4A4,49.883751,-97.140619,2,1,,WINNIPEG,MB,R3C4A4,82
N2G1A6,43.450003,-80.489224,2,1,,Kitchener,ON,N2G1A6,82
E5O1M9,,0,0,,,,,E5O1M9,81
E4O1M9,,0,0,,,,,E4O1M9,81
K0E1T0,44.715431,-75.52519,2,1,,Brockville,ON,K0E1T0,77
T9H2L0,56.708615,-111.373566,2,1,,,,T9H2L0,72
A3A8C3,,0,0,,,,,A3A8C3,68
J4M2A5,45.539131,-73.457543,2,1,,LONGUEUIL,QC,J4M2A5,67
E4E4E4,45.699597,-65.55897,2,1,,LOWER COVE,NB,E4E4E4,66
V2R4G9,49.141616,-121.960203,2,1,,CHILLIWACK,BC,V2R4G9,65
V6B2L3,49.280493,-123.109142,2,1,,Vancouver,BC,V6B2L3,65
V5Z4L6,49.260612,-123.116277,2,1,,VANCOUVER,BC,V5Z4L6,63
V2S1L9,49.038306,-122.276341,2,1,,Abbotsford,BC,V2S1L9,63
L5G4S1,43.560927,-79.589493,2,1,,Mississauga,ON,L5G4S1,61
A1F7D9,,0,0,,,,,A1F7D9,60
H9B2E1,45.491508,-73.820197,2,1,,DOLLARD-DES-ORMEAUX,QC,H9B2E1,60
J3E1A4,45.581997,-73.339468,2,1,,SAINTE-JULIE,QC,J3E1A4,59
K1P1A4,45.417804,-75.69519,2,1,,OTTAWA,ON,K1P1A4,59
E1E1E1,45.97279,-64.980563,2,1,,Moncton,NB,E1E1E1,59
J4B1T6,45.598914,-73.454629,2,1,,BOUCHERVILLE,QC,J4B1T6,58
J3H2N8,45.5349,-73.182407,2,1,,MONT-SAINT-HILAIRE,QC,J3H2N8,58
J2S4Y8,45.635839,-72.964237,2,1,,SAINT-HYACINTHE,QC,J2S4Y8,58
E0E0E0,45.871093,-65.82734,2,1,,,,E0E0E0,56
K1H8L1,45.401142,-75.653313,2,1,,OTTAWA,ON,K1H8L1,54
V0J2N0,54.783799,-127.168797,2,1,,Smithers,BC,V0J2N0,54
J3L2L7,45.442683,-73.297992,2,1,,CHAMBLY,QC,J3L2L7,53
C3C3C3,,0,0,,,,,C3C3C3,52
J3L1Y4,45.451009,-73.295835,2,1,,CHAMBLY,QC,J3L1Y4,51
J4B1K4,45.594373,-73.445633,2,1,,BOUCHERVILLE,QC,J4B1K4,51
E9E8F5,46.923822,-65.823223,2,1,,,,E9E8F5,51
J4B3E5,45.612852,-73.44715,2,1,,BOUCHERVILLE,QC,J4B3E5,50
C5B6C5,,0,0,,,,,C5B6C5,49
E4L1A7,45.902418,-64.372345,2,1,,SACKVILLE,NB,E4L1A7,48
V6V6J6,49.185638,-123.050502,2,1,,,,V6V6J6,48
M5V3H5,43.642097,-79.411395,2,1,,Toronto,ON,M5V3H5,48
J0H1A0,45.646958,-72.56776,2,1,,acton vale,QC,J0H1A0,47
B6E5F9,,0,0,,,,,B6E5F9,47
A3E5B3,,0,0,,,,,A3E5B3,47
J3E2J1,45.580391,-73.349181,2,1,,SAINTE-JULIE,QC,J3E2J1,46
K1N1H3,45.41021,-75.687722,2,1,,OTTAWA,ON,K1N1H3,45
C4E9E5,,0,0,,,,,C4E9E5,44
K0H1Z0,44.652264,-77.116038,2,1,,Kaladar,ON,K0H1Z0,43
A8A8A8,49.203975,-57.430338,2,1,,,,A8A8A8,43
S6H3J8,50.395275,-105.534782,2,1,,MOOSE JAW,SK,S6H3J8,42
E7F5A0,,0,0,,,,,E7F5A0,41
C8C6E5,,0,0,,,,,C8C6E5,41
A9C7D7,,0,0,,,,,A9C7D7,40
E3E3E3,45.903109,-66.831489,2,1,,,,E3E3E3,40
V3N1J1,49.215321,-122.948868,2,1,,Burnaby,BC,V3N1J1,39
T2A0T4,51.038045,-113.972588,2,1,,CALGARY,AB,T2A0T4,39
C8A5E9,,0,0,,,,,C8A5E9,38
C6A7B8,,0,0,,,,,C6A7B8,38
G9H9H9,46.327447,-72.408621,2,1,,,,G9H9H9,38
G8F8F8,,0,0,,,,,G8F8F8,38
A6F2A0,,0,0,,,,,A6F2A0,38
E7E7E7,47.189907,-67.91176,2,1,,,,E7E7E7,38
C2D1A1,,0,0,,,,,C2D1A1,37
A5A5A5,48.168664,-53.972592,2,1,,,,A5A5A5,37
K1N6X1,45.4209,-75.67809,2,1,,Ottawa,ON,K1N6X1,36
B2N5V2,45.356541,-63.289394,2,1,,TRURO,NS,B2N5V2,36
J3V2A5,45.526878,-73.34267,2,1,,SAINT-BRUNO,QC,J3V2A5,35
V5G4K6,49.249865,-122.998223,2,1,,Burnaby,BC,V5G4K6,35
C6B1F7,,0,0,,,,,C6B1F7,33
J4N1R4,45.53676,-73.463906,2,1,,Longueuil,QC,J4N1R4,33
B4B6B6,44.734231,-63.748855,2,1,,,,B4B6B6,33
A3B6D7,,0,0,,,,,A3B6D7,33
H2J2Y3,45.530338,-73.590789,2,1,,MONTR問AL,QC,H2J2Y3,33
K1H7X3,45.398917,-75.667335,2,1,,OTTAWA,ON,K1H7X3,33
H4C2E1,45.474746,-73.58164,2,1,,MONTR問AL,QC,H4C2E1,33
K0A1L0,45.325832,-76.032272,2,1,,CARP,ON,K0A1L0,33
B8D3E2,,0,0,,,,,B8D3E2,33
L5N1A5,43.589841,-79.738384,2,1,,Mississauga,ON,L5N1A5,32
R0L1Z0,52.108341,-101.266888,2,1,,Swan River,MB,R0L1Z0,32
H3Z1W9,45.484432,-73.582342,2,1,,WESTMOUNT,QC,H3Z1W9,32
T2P4L4,51.050768,-114.075584,2,1,,CALGARY,AB,T2P4L4,31
E8E9E2,47.977944,-66.355908,2,1,,,,E8E9E2,31
H3H2R5,45.48814,-73.581669,2,1,,MONTR問AL,QC,H3H2R5,31
A8E8C9,,0,0,,,,,A8E8C9,30
M5T2C7,43.65244,-79.389442,2,1,,Toronto,ON,M5T2C7,30
E8E8E8,47.977944,-66.355908,2,1,,,,E8E8E8,30
H4B3A4,45.465759,-73.628726,2,1,,MONTR問AL,QC,H4B3A4,29
L5L3V3,43.544623,-79.677157,2,1,,Mississauga,ON,L5L3V3,29
C4C4C4,,0,0,,,,,C4C4C4,29
T5K0L5,53.540825,-113.514398,2,1,,EDMONTON,AB,T5K0L5,29
B2B1B0,,0,0,,,,,B2B1B0,28
M5G1N8,43.656464,-79.384741,2,1,,TORONTO,ON,M5G1N8,28
K0H2S0,44.164049,-76.720954,2,1,,STELLA,ON,K0H2S0,28
H1Z3T6,45.575263,-73.610091,2,1,,MONTR問AL,QC,H1Z3T6,28
A2E6A4,,0,0,,,,,A2E6A4,27
J2S8T2,45.636524,-72.960597,2,1,,SAINT-HYACINTHE,QC,J2S8T2,27
J0S1K0,45.119505,-73.990261,2,1,,ormstown,QC,J0S1K0,26
B3J3N2,44.652692,-63.577708,2,1,,HALIFAX,NS,B3J3N2,26
M3C3N7,43.72916,-79.329662,2,1,,NORTH YORK,ON,M3C3N7,26
N2H6P7,43.450529,-80.485184,2,1,,Kitchener,ON,N2H6P7,26
J3Y3N7,45.503861,-73.420952,2,1,,SAINT-HUBERT,QC,J3Y3N7,25
J2S7W5,45.63354,-72.944876,2,1,,SAINT-HYACINTHE,QC,J2S7W5,25
H2X1K1,45.510352,-73.565556,2,1,,MONTR問AL,QC,H2X1K1,25
A6A6A6,,0,0,,,,,A6A6A6,25
N0G2P0,43.831624,-80.847281,2,1,,MINTO,ON,N0G2P0,25
C6D1C2,,0,0,,,,,C6D1C2,24
A8A5D1,49.203975,-57.430338,2,1,,,,A8A5D1,24
A5F7A2,,0,0,,,,,A5F7A2,24
H9H9H8,45.471517,-73.85845,2,1,,,,H9H9H8,24
C3B7D1,,0,0,,,,,C3B7D1,24
K1Y4W7,45.394877,-75.720799,2,1,,Ottawa,ON,K1Y4W7,24
J6E1E5,46.042492,-73.43438,2,1,,NOTRE-DAME-DES-PRAIRIES,QC,J6E1E5,24
E1C1G1,46.088253,-64.778864,2,1,,Moncton,NB,E1C1G1,24
E6E6E6,46.198692,-67.210409,2,1,,MAPLEWOOD,NB,E6E6E6,24
A9A9A9,44.525548,-76.67297,2,1,,Burlington,ON,A9A9A9,24
V6B0G6,49.281541,-123.106181,2,1,,VANCOUVER,BC,V6B0G6,24
K1Z7S8,45.378333,-75.741562,2,1,,Ottawa,ON,K1Z7S8,24
B0A2E4,46.142879,-59.865105,2,1,,,,B0A2E4,23
M4S1Y5,43.689223,-79.393191,2,1,,TORONTO,ON,M4S1Y5,23
V8Z1X5,48.461755,-123.390403,2,1,,VICTORIA,BC,V8Z1X5,23
V6C3C1,49.288948,-123.115428,2,1,,VANCOUVER,BC,V6C3C1,23
M4W3H8,43.67031,-79.387029,2,1,,TORONTO,ON,M4W3H8,23
K1A0S5,45.41402,-75.703154,2,1,,GATINEAU,QC,K1A0S5,23
K1A0R5,45.415565,-75.697964,2,1,,OTTAWA,ON,K1A0R5,23
H8F8F8,,0,0,,,,,H8F8F8,22
B0D1E0,,0,0,,,,,B0D1E0,22
K1N9N2,45.423903,-75.681806,2,1,,Ottawa,ON,K1N9N2,22
J6T6C1,45.251162,-74.130201,2,1,,SALABERRY-DE-VALLEYFIELD,QC,J6T6C1,22
H1P3H3,45.594252,-73.577202,2,1,,SAINT-LEONARD,QC,H1P3H3,22
E1E7A5,46.079107,-64.818243,2,1,,,,E1E7A5,21
C9F3D5,,0,0,,,,,C9F3D5,21
N0D0G8,,0,0,,,,,N0D0G8,21
E8D9D6,,0,0,,,,,E8D9D6,21
V3B0G5,49.282852,-122.79832,2,1,,COQUITLAM,BC,V3B0G5,21
V6T1K6,49.266567,-123.238606,2,1,,Vancouver,BC,V6T1K6,21
M5G1L7,43.660225,-79.387025,2,1,,Toronto,ON,M5G1L7,21
E2E2E2,45.404451,-65.99993,2,1,,Fairvale,NB,E2E2E2,21
E4A8C1,46.129178,-65.866799,2,1,,,,E4A8C1,20
G8G8F8,48.419563,-71.850215,2,1,,,,G8G8F8,20
B2E6D7,45.749285,-60.622219,2,1,,,,B2E6D7,20
B0B7B2,,0,0,,,,,B0B7B2,20
J8T8J7,45.492959,-75.705365,2,1,,GATINEAU,QC,J8T8J7,20
H1K4W9,45.600889,-73.534755,2,1,,MONTR問AL,QC,H1K4W9,20
K1S1C4,45.407813,-75.677384,2,1,,Ottawa,ON,K1S1C4,20
J3P1N5,46.04681,-73.095441,2,1,,SOREL-TRACY,QC,J3P1N5,20
J3A1E5,45.335342,-73.268049,2,1,,SAINT-JEAN-SUR-RICHELIEU,QC,J3A1E5,20
L1W3E6,43.821451,-79.061633,2,1,,PICKERING,ON,L1W3E6,20
E8C6B7,48.05552,-66.378274,2,1,,,,E8C6B7,19
B7D5D0,,0,0,,,,,B7D5D0,19
R3C0V8,49.88598,-97.147106,2,1,,WINNIPEG,MB,R3C0V8,19
L3Y2N7,44.058276,-79.464977,2,1,,Newmarket,ON,L3Y2N7,19
J4K2M3,45.510234,-73.486784,2,1,,LONGUEUIL,QC,J4K2M3,19
B1P6J4,46.13793,-60.183075,2,1,,SYDNEY,NS,B1P6J4,19
Y4I5T8,,0,0,,,,,Y4I5T8,19
J3Y7R9,45.494981,-73.408828,2,1,,SAINT-HUBERT,QC,J3Y7R9,19
B3B3B3,44.703204,-63.595248,2,1,,,,B3B3B3,19
E4L1G9,45.90026,-64.379294,2,1,,SACKVILLE,NB,E4L1G9,19
J9J1E8,45.405525,-75.809397,2,1,,GATINEAU,QC,J9J1E8,19
B9D5C4,,0,0,,,,,B9D5C4,18
G9H9H8,46.327447,-72.408621,2,1,,,,G9H9H8,18
E6A9E8,46.417889,-66.5215,2,1,,,,E6A9E8,18
K1N9B1,45.420903,-75.686604,2,1,,OTTAWA,ON,K1N9B1,18
J3G0B8,45.582086,-73.210745,2,1,,BELOEIL,QC,J3G0B8,18
E2A4T1,47.621254,-65.655655,2,1,,BATHURST,NB,E2A4T1,18
C8C8C8,,0,0,,,,,C8C8C8,18
B1C4D5,45.952345,-59.955517,2,1,,,,B1C4D5,18
J2K1K3,45.209152,-72.724407,2,1,,COWANSVILLE,QC,J2K1K3,18
K7K7B4,44.237247,-76.45792,2,1,,KINGSTON,ON,K7K7B4,18
G0C2L0,48.509586,-64.242931,2,1,,PERC,QC,G0C2L0,18
E9E9E9,47.115822,-66.168141,2,1,,WHITNEY,NB,E9E9E9,18
C0C1C1,,0,0,,,,,C0C1C1,17
K4M1A8,45.227305,-75.689505,2,1,,MANOTICK,ON,K4M1A8,17
A5C2B8,,0,0,,,,,A5C2B8,17
E4L1A6,45.901827,-64.372209,2,1,,SACKVILLE,NB,E4L1A6,17
B6B6B6,,0,0,,,,,B6B6B6,17
E4L1C7,45.89679,-64.36208,2,1,,SACKVILLE,NB,E4L1C7,17
J2G1T7,45.410268,-72.733893,2,1,,GRANBY,QC,J2G1T7,17
R0E0C0,50.060619,-96.514712,2,1,,Beausejour,MB,R0E0C0,17
B5B5B5,,0,0,,,,,B5B5B5,17
J3P3C7,46.302014,-72.464796,2,1,,SOREL-TRACY,QC,J3P3C7,16
B8A6D8,,0,0,,,,,B8A6D8,16
H9H8G9,45.471517,-73.85845,2,1,,,,H9H8G9,16
A9B8D7,,0,0,,,,,A9B8D7,16
T6E1X2,53.517071,-113.495081,2,1,,Edmonton,AB,T6E1X2,16
H1L6P2,45.611529,-73.526388,2,1,,MONTR問AL,QC,H1L6P2,16
T0E1E0,52.876243,-118.088993,2,1,,Jasper,AB,T0E1E0,16
H1A1T5,45.66511,-73.493172,2,1,,POINTE-AUX-TREMBLES,QC,H1A1T5,16
H1E7E4,45.650879,-73.577075,2,1,,MONTR問AL,QC,H1E7E4,16
K1A0R6,45.43896,-75.662851,2,1,,Ottawa,ON,K1A0R6,16
R3K0Y2,49.880042,-97.283029,2,1,,Winnipeg,MB,R3K0Y2,16
R0H0R0,49.963676,-98.773699,2,1,,MACGREGOR,MB,R0H0R0,16
K1V9B4,45.324588,-75.663802,2,1,,OTTAWA,ON,K1V9B4,16
N2G4J1,43.445991,-80.483116,2,1,,KITCHENER,ON,N2G4J1,16
R8N0N1,55.744107,-97.858023,2,1,,Thompson,MB,R8N0N1,16
B0D3C1,,0,0,,,,,B0D3C1,15
J3A1T6,45.758821,-72.68461,2,1,,SAINT-JEAN-SUR-RICHELIEU,QC,J3A1T6,15
C6E7D6,,0,0,,,,,C6E7D6,15
A4F3A5,,0,0,,,,,A4F3A5,15
C5F6D0,,0,0,,,,,C5F6D0,15
J3V2H4,45.527356,-73.33506,2,1,,SAINT-BRUNO,QC,J3V2H4,15
J3G2T1,45.570661,-73.205666,2,1,,BELOEIL,QC,J3G2T1,15
J2S2T2,45.623429,-72.953215,2,1,,SAINT-HYACINTHE,QC,J2S2T2,15
V5B4L9,49.277916,-122.962477,2,1,,BURNABY,BC,V5B4L9,15
K1H6L8,45.386531,-75.66409,2,1,,Ottawa,ON,K1H6L8,15
T5H4K1,53.558183,-113.502561,2,1,,EDMONTON,AB,T5H4K1,15
H2X1X1,45.512241,-73.569391,2,1,,MONTR問AL,QC,H2X1X1,15
J7V7H4,45.378133,-74.021647,2,1,,VAUDREUIL-DORION,QC,J7V7H4,15
T5S2L5,53.548607,-113.636493,2,1,,Edmonton,AB,T5S2L5,15
G0J2L0,48.605422,-68.22686,2,1,,ST-JEAN-BAPTISTE,QC,G0J2L0,15
C9D2D8,,0,0,,,,,C9D2D8,15
T6B2J9,53.51013,-113.418166,2,1,,Edmonton,AB,T6B2J9,15
T2M0J9,51.05257,-114.079801,2,1,,CALGARY,AB,T2M0J9,15
T2R0B6,51.039937,-114.081273,2,1,,Calgary,AB,T2R0B6,15
B2V1E7,44.667347,-63.490249,2,1,,Halifax,NS,B2V1E7,15
T2V0Y9,50.965012,-114.106354,2,1,,Calgary,AB,T2V0Y9,15
V5G1L7,49.249896,-122.982199,2,1,,Burnaby,BC,V5G1L7,15
C1D6D4,,0,0,,,,,C1D6D4,14
C0C4C3,,0,0,,,,,C0C4C3,14
C6E2A7,,0,0,,,,,C6E2A7,14
A9B2D6,,0,0,,,,,A9B2D6,14
G8F8G8,,0,0,,,,,G8F8G8,14
H8G9H9,,0,0,,,,,H8G9H9,14
G9H8G9,46.327447,-72.408621,2,1,,,,G9H8G9,14
G9G8G9,,0,0,,,,,G9G8G9,14
G8G9G8,48.419563,-71.850215,2,1,,,,G8G9G8,14
G8F9G8,,0,0,,,,,G8F9G8,14
A9E9C8,,0,0,,,,,A9E9C8,14
B9B4B0,,0,0,,,,,B9B4B0,14
E3F5A9,,0,0,,,,,E3F5A9,14
V3N3R5,49.227244,-122.9276,2,1,,Burnaby,BC,V3N3R5,14
V3N2K1,49.216768,-122.936065,2,1,,Burnaby,BC,V3N2K1,14
L2T3L2,43.12543,-79.242372,2,1,,Saint Catharines,ON,L2T3L2,14
T4N6Y5,52.276573,-113.809944,2,1,,RED DEER,AB,T4N6Y5,14
T1A4X4,50.024368,-110.705061,2,1,,Medicine Hat,AB,T1A4X4,14
J0S1H0,45.08647,-74.176201,2,1,,Godmanchester,QC,J0S1H0,14
C0B1P0,46.605741,-63.859263,2,1,,LENNOX ISLAND,PE,C0B1P0,14
V5H1K7,49.233969,-123.00666,2,1,,BURNABY,BC,V5H1K7,14
L6T5H8,43.710746,-79.680048,2,1,,Brampton,ON,L6T5H8,14
V5J5H3,49.21661,-123.008721,2,1,,Burnaby,BC,V5J5H3,14
V3N2H8,49.233586,-122.908324,2,1,,BURNABY,BC,V3N2H8,14
B3S1B5,44.63961,-63.667936,2,1,,HALIFAX,NS,B3S1B5,14
V4E2A6,49.122823,-122.893271,2,1,,Delta,BC,V4E2A6,14
V2R4G4,49.132858,-121.95993,2,1,,Chilliwack,BC,V2R4G4,14
T9E6X2,53.265592,-113.55221,2,1,,Leduc,AB,T9E6X2,14
R6W4B7,49.183708,-97.921573,2,1,,WINKLER,MB,R6W4B7,14
R7A6C3,49.839174,-99.938852,2,1,,BRANDON,MB,R7A6C3,14
V5A4X6,49.279122,-122.907125,2,1,,BURNABY,BC,V5A4X6,14
B5D8A2,,0,0,,,,,B5D8A2,13
E6C4B6,46.186986,-66.585623,2,1,,,,E6C4B6,13
J4M2Y8,45.534471,-73.45945,2,1,,LONGUEUIL,QC,J4M2Y8,13
A1F7C5,,0,0,,,,,A1F7C5,13
A5E5E1,,0,0,,,,,A5E5E1,13
J8B1A2,45.951248,-74.144832,2,1,,SAINTE-AD躍LE,QC,J8B1A2,13
A7A7A7,,0,0,,,,,A7A7A7,13
K1A0J9,45.436362,-75.715771,2,1,,GATINEAU,QC,K1A0J9,13
K1A0C5,45.37358,-75.728475,2,1,,Ottawa,ON,K1A0C5,13
B9B9B9,,0,0,,,,,B9B9B9,13
M6M3W2,43.684911,-79.470955,2,1,,York,ON,M6M3W2,13
M9N2R3,43.698129,-79.502423,2,1,,North York,ON,M9N2R3,13
M2R1Z3,43.75637,-79.46452,2,1,,North York,ON,M2R1Z3,13
M6A2N4,43.719378,-79.443994,2,1,,North York,ON,M6A2N4,13
M6S4W4,43.649607,-79.48376,2,1,,TORONTO,ON,M6S4W4,13
K1R7S8,45.419788,-75.704262,2,1,,Ottawa,ON,K1R7S8,13
E6C0C0,46.186986,-66.585623,2,1,,,,E6C0C0,13
C1A4N4,46.244612,-63.134289,2,1,,CHARLOTTETOWN,PE,C1A4N4,13
N8W3S5,42.273125,-82.975678,2,1,,Windsor,ON,N8W3S5,13
L4K5X1,43.822263,-79.536693,2,1,,CONCORD,ON,L4K5X1,13
L4K1C3,43.80208,-79.534756,2,1,,CONCORD,ON,L4K1C3,13
M4W1J5,43.671094,-79.388096,2,1,,Toronto,ON,M4W1J5,13
M1P2S8,43.753728,-79.253588,2,1,,Scarborough,ON,M1P2S8,13
L2S3V7,43.172346,-79.272775,2,1,,ST CATHARINES,ON,L2S3V7,13
N6E1R2,42.932659,-81.212112,2,1,,London,ON,N6E1R2,13
N2C1N7,43.433478,-80.457162,2,1,,KITCHENER,ON,N2C1N7,13
L8N1H2,43.253563,-79.862187,2,1,,HAMILTON,ON,L8N1H2,13
N1K1T2,43.534328,-80.319748,2,1,,GUELPH,ON,N1K1T2,13
N1M3E2,43.747289,-80.359354,2,1,,FERGUS,ON,N1M3E2,13
R3T2N2,49.810415,-97.137854,2,1,,WINNIPEG,MB,R3T2N2,13
H4N2N4,45.512184,-73.659772,2,1,,SAINT-LAURENT,QC,H4N2N4,13
C0A1H0,46.234265,-63.212865,2,1,,Stratford,PE,C0A1H0,13
B3K5J7,44.647221,-63.590564,2,1,,HALIFAX,NS,B3K5J7,13
L7S1V2,43.326047,-79.800954,2,1,,Burlington,ON,L7S1V2,13
N4S1H3,43.133683,-80.731033,2,1,,Woodstock,ON,N4S1H3,13
V6X1Z7,49.194198,-123.098791,2,1,,Richmond,BC,V6X1Z7,13
V3L3A2,49.207934,-122.913974,2,1,,NEW WESTMINSTER,BC,V3L3A2,13
V1X4J2,49.886451,-119.435324,2,1,,KELOWNA,BC,V1X4J2,13
V5J2B7,49.214986,-122.987453,2,1,,Burnaby,BC,V5J2B7,13
J6K1C7,45.599958,-73.299319,2,1,,CH籾TEAUGUAY,QC,J6K1C7,12
B5B8C8,,0,0,,,,,B5B8C8,12
G8G9H9,48.419563,-71.850215,2,1,,,,G8G9H9,12
G8F8G9,,0,0,,,,,G8F8G9,12
G8F9G9,,0,0,,,,,G8F9G9,12
A0A8B8,47.487036,-53.086027,2,1,,,,A0A8B8,12
E8B8D6,47.65367,-67.305423,2,1,,,,E8B8D6,12
R2C2Z2,49.945515,-96.976856,2,1,,SPRINGFIELD,MB,R2C2Z2,12
C0F7C3,,0,0,,,,,C0F7C3,12
B0E0E6,45.999919,-61.087997,2,1,,,,B0E0E6,12
K1Y4G2,45.392719,-75.719286,2,1,,OTTAWA,ON,K1Y4G2,12
N8Y1R4,42.31139,-83.008071,2,1,,Windsor,ON,N8Y1R4,12
K2C3V4,45.376713,-75.704672,2,1,,OTTAWA,ON,K2C3V4,12
K1H7W9,45.373005,-75.681817,2,1,,OTTAWA,ON,K1H7W9,12
K1N9N1,45.422604,-75.681834,2,1,,Ottawa,ON,K1N9N1,12
C6C6C6,,0,0,,,,,C6C6C6,12
R7A3W9,49.847197,-99.948596,2,1,,Brandon,MB,R7A3W9,12
R3C1V4,49.885646,-97.149543,2,1,,Winnipeg,MB,R3C1V4,12
V8R1J5,48.429288,-123.330764,2,1,,Victoria,BC,V8R1J5,12
V5K2A7,49.280992,-123.026567,2,1,,VANCOUVER,BC,V5K2A7,12
L1S1P1,43.841721,-79.028791,2,1,,Ajax,ON,L1S1P1,12
M5A2B2,43.657991,-79.379199,2,1,,TORONTO,ON,M5A2B2,12
N2H2M2,43.45249,-80.484114,2,1,,Kitchener,ON,N2H2M2,12
M5R1A9,43.669788,-79.395974,2,1,,Toronto,ON,M5R1A9,12
P7C3J6,48.391562,-89.237062,2,1,,Thunder Bay,ON,P7C3J6,12
L8R3M2,43.260551,-79.87373,2,1,,Hamilton,ON,L8R3M2,12
L8R1B6,43.257427,-79.865112,2,1,,Hamilton,ON,L8R1B6,12
K1Z5Z8,45.383937,-75.732602,2,1,,Ottawa,ON,K1Z5Z8,12
S7K2B1,52.123,-106.665554,2,1,,SASKATOON,SK,S7K2B1,12
S4P0P4,50.447108,-104.60093,2,1,,Regina,SK,S4P0P4,12
A1C2W6,47.564162,-52.722673,2,1,,ST. JOHN&#39;S,NL,A1C2W6,12
M9C5K7,43.647881,-79.566408,2,1,,Etobicoke,ON,M9C5K7,12
N0A1M0,43.073626,-80.118753,2,1,,Six Nations (Part) 40,ON,N0A1M0,12
J5R1C1,45.399799,-73.53208,2,1,,CANDIAC,QC,J5R1C1,12
K1A0H3,45.433959,-75.715813,2,1,,GATINEAU,QC,K1A0H3,12
